Company Name,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Annual Revenue,SIC Codes,NAICS Codes,Founded Year,Subsidiary of
Northvolt,1900,machinery,http://www.northvolt.com,http://www.linkedin.com/company/northvolt,https://www.facebook.com/Northvolt/,https://twitter.com/northvolt,22 Alstroemergatan,Stockholm,Stockholm County,Sweden,112 47,"22 Alstroemergatan, Stockholm, Stockholm County, Sweden, 112 47","clean tech, lithiumion battery, battery cells, large scale battery factory, renewable energy, battery energy storage, industrial machinery manufacturing, battery cell innovation, circular battery economy, battery industry, battery technology patents, battery energy efficiency, battery performance testing, battery system modularity, battery recycling plant, electric vehicle batteries, battery supply chain europe, battery system software, battery cell production, energy storage, battery material sourcing standards, battery lifecycle extension, battery energy management systems, battery manufacturing automation, battery technology, battery supply chain logistics, battery energy density improvements, sustainability, battery safety standards, sodium-ion batteries, battery supply agreements, services, renewable energy power, industrial manufacturing, sustainable manufacturing, battery material traceability, raw materials sourcing, battery applications, battery production sustainability, energy & utilities, battery cost reduction, battery lifecycle management, european battery industry, lithium-metal batteries, battery material purity, battery materials, battery supply, battery system integration, battery material recovery, european battery supply, sustainable production, sustainable batteries, circular economy, battery supply chain, battery innovation, recycling, battery systems integration, battery r&d, battery recycling process, industrial energy storage, battery supply chain management, battery capacity, battery industry partnerships, battery performance optimization, green energy, battery manufacturing in europe, battery system scalability, sustainable raw materials, transportation & logistics, energy transition, battery development, battery recycling, energy efficiency, battery system design, battery safety innovations, advanced battery materials, battery manufacturing, lithium-ion batteries, battery supply chain transparency, innovation, battery management software, battery design, clean energy, battery performance, responsible sourcing, battery recycling technology, carbon footprint reduction, battery systems, b2b, manufacturing, electric vehicles, battery recycling facilities, battery energy density, battery raw material recovery, battery recycling technology europe, battery system monitoring, battery lifecycle, battery manufacturing process, battery safety, recycling technologies, sustainable energy storage, battery factories, raw material sourcing, lithium-ion cells, battery waste management, green batteries, sodium-ion cells, lithium-metal cells, energy storage solutions, automated battery production, low carbon footprint, recyclable materials, ethical sourcing, battery-grade metals, electric mobility solutions, voltpack systems, clean transportation, industrial battery applications, renewable energy powered factories, high-performance battery cells, modular energy storage, decarbonization solutions, smart grid technology, machine learning in batteries, sustainability reporting, sustainable supply chain, environmental impact, lifecycle assessment, battery manufacturing certification, battery systems design, clean technology, carbon neutrality, custom battery solutions, eco-friendly packaging, energy recovery, battery traceability, remote access technology, battery production efficiency, resource optimization, hydrometallurgical recycling, versatile energy applications, sustainable battery ecosystems, industrial scale recycling, innovative process design, cross-industry collaboration, employee engagement in sustainability, clean energy & technology, environmental services, renewables & environment, oil & energy, mechanical or industrial engineering",'+46 761 30 94 27,1800000000,3691,33591,2016,
Bulldog Battery Corporation,55,mechanical or industrial engineering,http://www.bulldog-battery.com,http://www.linkedin.com/company/bulldog-battery-corporation,,,98 E Canal St,Wabash,Indiana,United States,46992-3104,"98 E Canal St, Wabash, Indiana, United States, 46992-3104","industrial battery, industrial charger, forklift, forklift battery, golf cart battery, mining equipment battery, diesel engine battery, pallet jack battery, manufacturing, battery parts, battery life extension, hazardous environment batteries, battery reliability, battery safety standards, explosion-proof batteries, battery discharge and equalization, battery industry standards, battery engineering, lead-acid batteries, heavy-duty inter-cell connectors, mining batteries, high-performance batteries, industrial batteries, spark-proof batteries, battery assembly line, battery stands, special application batteries, battery quality control, battery testing, customer service, battery accessories, battery capacity optimization, custom power solutions, battery repair, reserve power, forklift batteries, battery manufacturing, services, specialized industrial batteries, battery components in-house, employee-owned company, industrial equipment power, automotive batteries, water watering systems, battery customization, battery indicator lights, battery training, locomotive batteries, custom battery solutions, battery warranty, energy management, battery safety, custom batteries, b2b, mine locomotive batteries, oem batteries, distribution, battery assembly, fast delivery, water systems, industrial power solutions, battery maintenance, transportation & logistics, battery chargers, mechanical or industrial engineering, oil & energy",'+1 800-443-3492,,3691,33591,1977,
Nippo (Indo National Ltd),2900,electrical/electronic manufacturing,http://www.nippo.in,http://www.linkedin.com/company/nippo,,,Nungambakkam High Road,Chennai,Tamil Nadu,India,600034,"Nungambakkam High Road, Chennai, Tamil Nadu, India, 600034","battery, led, torch, mosquito bat, electricals, mosquito repellent, appliances, electrical, & electronics manufacturing, consumer electronics, lighting solutions, battery innovation, retail, environmental responsibility, fast rechargeable mosquito bats, battery manufacturing, iso 14001 certified, household electrical products, led lighting, rechargeable torches, cost-effective batteries, b2c, solar charging lanterns, electrical equipment, product quality assurance, sustainable manufacturing, manufacturing, dry cell batteries, indoor and outdoor lighting, mosquito protection products, surge protection, battery packs for rural markets, iso 9001 certified, cost-efficient dry batteries, mosquito swatters, high-performance zinc-carbon batteries, d2c, distribution, solar rechargeable bulbs, brand trust, surge protector accessories, glow-in-the-dark torches, innovation, power solutions, batteries, eco-friendly battery disposal, product reliability, widespread distribution, mercury-free batteries, electrical accessories, product innovation, household lighting, energy efficiency, e-commerce, consumer products & retail, transportation & logistics, electrical/electronic manufacturing, mechanical or industrial engineering, consumers, hardware, environmental services, renewables & environment, consumer internet, internet, information technology & services",'+91 44282 72711,301163000,3631,33591,1972,
"MarathonNorco Aerospace, Inc.",67,aviation & aerospace,http://www.marathonnorco.com,http://www.linkedin.com/company/marathonnorco-aerospace-inc.,,,8301 Imperial Dr,Waco,Texas,United States,76712,"8301 Imperial Dr, Waco, Texas, United States, 76712","aerospace, batteries, hold open rods, christie chargers, repair center, aviation & aerospace component manufacturing, battery management systems, commercial aircraft batteries, aircraft safety systems, aerospace product and parts manufacturing, aircraft battery lifecycle management, sustainability, aircraft mechanical products, reliable aircraft power, aircraft power transmission, aircraft safety equipment, b2b, aircraft emergency power, product design, iso14001 certified, aerospace manufacturing technology, government, aerospace components & parts, aircraft ground support, sealed nickel-cadmium batteries, custom aerospace solutions, power transmission products, satellite power batteries, aerospace manufacturing, aircraft chargers, aerospace quality management, aircraft mechanical components, aircraft power systems, as9100d certified, battery testing and inspection, aircraft power management, aviation power systems, high-performance batteries, aerospace safety standards, aviation ground support equipment, faa/easa repair station, defense & military equipment, aircraft maintenance & support, ground support equipment, aircraft maintenance, aircraft batteries, specialty mechanical coupling devices, aircraft battery maintenance, energy efficiency, military aircraft batteries, mechanical products, aviation power solutions, aircraft maintenance equipment, services, manufacturing, distribution, transportation & logistics, hardware, environmental services, renewables & environment, mechanical or industrial engineering",'+1 254-776-0650,40115000,3764,33641,1923,
Monbat Group,98,electrical/electronic manufacturing,,http://www.linkedin.com/company/monbat,,,32 Булевард Черни връх,Sofia,Sofia City Province,Bulgaria,1407,"32 Булевард Черни връх, Sofia, Sofia City Province, Bulgaria, 1407","leadacid batteries, lithiumion batteries, recycling, chemical engineering, automotive batteries, reserve power, vertically integrated economic group, appliances, electrical, & electronics manufacturing, cylindrical cells technology, energy & utilities, energy storage, battery energy storage systems, battery recycling, manufacturing, energy efficiency, battery cells, modular battery design, public transport batteries, energy storage projects, battery industry, b2b, battery solutions for industries, high power batteries, battery production, distribution, lead alloys, lithium-ion batteries, batteries for aerospace, lead scrap trading, airport battery solutions, transportation & logistics, services, energy solutions, lithium-ion solutions, battery manufacturing process, battery systems, industrial batteries, stationary batteries, sustainability, marine harbor operations, marine batteries, recycling of lead-acid batteries, plastic materials trading, bipolar lead batteries, battery manufacturing, lfp chemistry, battery market, lead alloys trading, special batteries, deep cycle batteries, lead-acid batteries, recycling activities, batteries for defense applications, modular battery packing, industrial energy storage, recycling facilities, energy storage systems, lead acid batteries, electrical/electronic manufacturing, mechanical or industrial engineering, oil & energy, environmental services, renewables & environment",'+359 2 962 1150,224000000,3691,33591,1999,
Motive Energy,280,environmental services,http://www.motiveenergy.com,http://www.linkedin.com/company/motiveenergy,https://facebook.com/MotiveEnergy/,,125 E Commercial St,Anaheim,California,United States,92801-1213,"125 E Commercial St, Anaheim, California, United States, 92801-1213","industrial battery maintenance, forklift battery chargers, lithiumion batteries, deka batteries, forklift batteries, battery cleaning, battery watering, forklift battery charger repair, rental equipment, battery disposal services, battery monitoring systems, cloudbased data management, charger monitoring system, ground support equipment batteries, gse chargers, industrial lift truck batteries, solar, energy storage, ev charging, renewable energy, microgrid, electric power generation, fleet management, project development, electric vehicle supply equipment, grid stability, battery recycling, epc services, monitoring systems, off-grid solar solutions, microgrid control, clean energy, advanced monitoring technology, lcfs-compliant chargers, proprietary energy management software, manufacturing, b2b, battery management systems, industrial chargers, energy management systems, operation and maintenance, electrical equipment & components, energy services, front of meter solar, microgrid solutions, sustainable solutions, solar energy, solar installation, battery handling equipment, renewable integration, large-scale solar, sustainable development, energy solutions, self-developed projects, energy monitoring, smart rebates program, energy savings, battery energy storage system, solar panel cleaning, services, consulting, project engineering, solar power, custom energy projects, industrial batteries, large-scale developer projects, ev charging infrastructure, energy credits, construction, government, bess + ems, energy efficiency, finance, non-profit, distribution, energy & utilities, clean energy & technology, environmental services, renewables & environment, oil & energy, mechanical or industrial engineering, sustainability, financial services, nonprofit organization management",'+1 800-680-7891,21502000,1731,22111,1979,
Baterias LTH,260,wholesale,http://www.lth.com.mx,http://www.linkedin.com/company/baterias-lth,,,Boulevard Centroamerica,Tegucigalpa,Departamento de Francisco Morazan,Honduras,,"Boulevard Centroamerica, Tegucigalpa, Departamento de Francisco Morazan, Honduras",,'+52 800 835 8400,,3691,33591,1985,
L'accumulateur-tunisien-assad,120,automotive,,http://www.linkedin.com/company/l'accumulateur-tunisien-assad,,,,,,Tunisia,,Tunisia,"densimètres pour batteries, chargeurs de batteries, batterie stationnaire, connecteurs pour batteries de traction, batteries pour ups, batteries lithium, batterie agm, batteries pour télécommunications, systèmes de remplissage automatique, batterie pour éclairage public, batterie de traction pour chariots élévateurs, batterie monobloc, electrical equipment and components manufacturing, batterie de secours, solutions de stockage d'énergie en afrique, batteries industrielles, batterie pour pompage solaire, batterie pour véhicules électriques, accessoires batteries, batterie monobloc semi-traction, batterie solaire photovoltaïque, batteries pour énergie renouvelable, batterie pour automates, energy storage, batterie gel, manufacturing, batterie solaire, batterie tubulaire, batteries pour applications renouvelables, batterie de traction, batterie lithium sur mesure, batterie plomb, solutions de stockage d'énergie, batterie stationnaire pour télécoms, batterie gel pour applications industrielles, accumulateurs au plomb, batterie lithium, systèmes de stockage d'énergie, partenariat enersys, b2b, services, battery manufacturing, electric vehicles, renewable energy, energy efficiency, oil & energy, mechanical or industrial engineering, clean energy & technology, environmental services, renewables & environment",'+216 71 388 188,52000000,3691,33591,,
天能集团,450,,http://www.cn-tn.com,http://www.linkedin.com/company/%e5%a4%a9%e8%83%bd%e9%9b%86%e5%9b%a2,,,18 Bao Qiao Lu,Hu Zhou Shi,Zhe Jiang Sheng,China,313199,"18 Bao Qiao Lu, Hu Zhou Shi, Zhe Jiang Sheng, China, 313199","industrial applications, international trade shows, customer service, sustainable technology, power modules for industrial use, services, battery manufacturing, energy storage systems, energy storage, logistics, patents, large-scale energy projects, supply chain, data analytics, power modules, b2b, electric vehicle batteries, renewable energy, energy management systems, manufacturing, battery packs, energy efficiency, energy solutions, lithium-ion batteries, industry awards, product development, custom battery solutions, power management, energy & utilities, supply chain management, battery management system, oil & energy, clean energy & technology, environmental services, renewables & environment, mechanical or industrial engineering, logistics & supply chain",'+86 400 878 8188,61864000000,3711,49311,,
Samsung SDI Battery Systems,300,automotive,http://www.samsungsdibs.at,http://www.linkedin.com/company/samsung-sdi-battery-systems-gmbh,https://www.facebook.com/SamsungNordics/,,6 Industriezeile 2,Kalsdorf bei Graz,Styria,Austria,8401,"6 Industriezeile 2, Kalsdorf bei Graz, Styria, Austria, 8401","development of battery packs, pt shop, testing & validation, battery packs for bevs & phevs, battery patents, electric mobility, customized battery solutions, battery validation processes, battery testing laboratories, battery cell design, battery innovation, battery manufacturing processes, battery quality control, innovation, battery patents in automotive sector, battery management system development, battery management electronics, automotive lithium-ion batteries, battery testing centers, battery testing and validation centers, employee benefits, battery performance metrics, battery testing technology, battery innovation patents, battery innovation labs, battery testing, battery sustainability, battery safety standards compliance, customized automotive batteries, battery safety testing, battery chemistry, battery management software, automotive industry, battery pack integration, battery performance optimization, electric vehicle batteries, battery safety and reliability testing, data protection, automotive battery innovation, battery chemistry optimization, battery development projects, battery design and engineering, other motor vehicle parts manufacturing, battery development and innovation, automotive battery design and testing, battery development, hybrid vehicle batteries, battery management systems integration, hybrid vehicle battery systems, high energy density batteries, battery testing and validation, battery performance analytics tools, battery industrialization, battery testing and validation technology, automotive manufacturing, battery safety certifications, high-performance batteries, battery pack integration for evs, energy efficiency, battery research, battery validation and certification, battery innovation and research, battery performance, battery industrialization processes, energy management, automotive parts and components, electric vehicle (ev) batteries, battery design, battery testing channels, battery performance testing, automotive energy storage, battery safety protocols, sustainability, lithium-ion batteries, supply chain management, automotive supplier, battery research facilities, automotive battery packs, battery packs, energy storage, battery testing equipment, battery quality assurance, battery pack thermal management, electric vehicle battery packs, project management, battery production, battery systems, battery manufacturing, ev batteries, battery safety standards, patented battery technology, battery management electronics design, automotive solutions, battery research and development, engineering, battery performance analytics, battery cell chemistry development, battery quality, battery module assembly, battery management systems, battery modules, battery testing channels for automotive, plug-in hybrid battery solutions, sustainable energy, b2b, hybrid batteries, research and development in batteries, battery performance validation, automotive batteries, battery performance optimization tools, plug-in hybrid batteries, battery validation, battery management system software, lithium-ion battery systems, battery safety protocols for evs, services, battery safety, battery technology, battery safety certification processes, automotive battery systems, lithium-ion technology, e-mobility, quality control, testing facilities, high-performance battery packs, hev, phev, bev applications, charging stations, iso certifications, research and development, industrialization, collaboration, career events, quality management, environmental management, customer quality, production technology, team spirit, international teams, agile methodologies, employee training, mentoring, technology center, kalsdorf, smart solutions, software testing, business process, employee development, safety management, community involvement, event participation, work-life balance, modern workplace, dedicated teams, patent innovation, employee engagement, open-door policy, employee empowerment, manufacturing, distribution, transportation_logistics, energy_utilities, environmental services, renewables & environment, oil & energy, logistics & supply chain, productivity, research & development, mechanical or industrial engineering",'+43 664 88139568,2000000000,3691,33639,2015,Samsung SDI
Lion Energy,150,renewables & environment,http://www.lionenergy.com,http://www.linkedin.com/company/lion-energypower,https://facebook.com/poweredbylionenergy,https://twitter.com/_lionenergy,735 S Auto Mall Dr,American Fork,Utah,United States,84003,"735 S Auto Mall Dr, American Fork, Utah, United States, 84003","renewable energy, solar power, innovation, rv batteries, solar generator, quality tested, portable power, boat batteries, life trailer batteries, lithium batteries, camping, hicking, backpacking, outdoor, energy storage, services, energy independence, industrial energy storage, solar power for rvs, solar fridge coolers, solar extension cables, b2b, disaster preparedness power, commercial energy storage, recertified solar generators, solar generators, solar power equipment manufacturing, microgrid solutions, solar expansion packs, retail, battery chargers, off-grid power systems, battery manufacturing, renewable power storage, home backup power, b2c, energy storage systems, electrical power generation, transmission and distribution, portable power banks, solar off-grid kits, energy management systems, lifepo4 batteries, custom energy solutions, d2c, modular energy solutions, power inverters, lifepo4 safety technology, renewable energy solutions, american battery factory partnership, e-commerce, safety and reliability, energy monitoring apps, lioness energy management, energy efficiency, electrical equipment and components manufacturing, energy grid stabilization, solar charge controllers, solar panels, manufacturing, distribution, consumer products & retail, transportation & logistics, energy & utilities, construction & real estate, clean energy & technology, environmental services, renewables & environment, oil & energy, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering",'+1 385-375-8191,,3621,33591,2012,
Nemaska Lithium,140,chemicals,http://www.nemaskalithium.com,http://www.linkedin.com/company/nemaskalithium,https://facebook.com/nemaskalithium,https://twitter.com/nemaska_lithium,1580 Boulevard de Port Royal,Becancour,Quebec,Canada,G9H 1X6,"1580 Boulevard de Port Royal, Becancour, Quebec, Canada, G9H 1X6","chemical manufacturing, renewable energy integration, mining and processing, mine development, critical mineral supply, lithium project development, low-cost lithium production, battery materials, sustainable development, battery technology, sustainable development goals, technology innovation, lithium hydroxide membrane process, strategic partnerships, local sourcing, high purity lithium salts, green mining practices, strategic investments, lithium hydroxide innovation, renewable energy, advanced manufacturing, transportation & logistics, sustainable lithium mining, community relations, critical materials, off-take agreements, responsible sourcing, low-cost operations, lithium supply chain quebec, lithium carbonate process, energy storage, green technology, nonferrous metal (except aluminum) smelting and refining, lithium hydroxide process, climate-friendly production, manufacturing, community partnership, raw material supply, electric vehicles, energy grid storage, environmental responsibility, lithium project financing, electric vehicle batteries, energy & utilities, lithium supply security, long-term supply agreements, green energy solutions, energy transition materials, clean energy, battery manufacturing, battery industry, lithium salts, renewable-powered lithium plant, canadian mining, electric mobility, lithium supply agreements, energy transition, bcancour plant, carbon reduction, electric vehicle supply chain, reliable supply, distribution, lithium extraction quebec, high purity chemicals, market growth, lithium hydroxide manufacturing, environmental sustainability, mine whabouchi, sustainable energy materials, industrial minerals, lithium production, project management, b2b, climate action, sustainable resource management, green energy, community engagement, advanced lithium processing, lithium for ev batteries, climate change mitigation, renewable energy use, energy independence, lithium processing, critical minerals, lithium hydroxide, lithium carbonate, integrated supply chain, supply chain management, supply chain control, energy efficiency, integrated lithium project, lithium market, environmental impact assessment, lithium salts production, battery grade lithium, quebec lithium, low emission manufacturing, lithium, lithium-ion batteries, membrane electrolysis, quebec mining industry, automotive batteries, raw material extraction, lithium resource management, battery supply chain, sustainable mining, canadian lithium producer, carbon footprint reduction, supply chain transparency, technological innovation, innovative technology, low carbon lithium, quebec resources, high purity lithium, industrial innovation, hydroxyde de lithium, batteries lithium-ion, matériaux critiques, production durable, transition énergétique, mineral extraction, high-purity lithium, mining industry, integrated production, chemical processing, triple bottom line, stakeholder value, social responsibility, corporate ethics, carbon footprint, cleantech innovation, sustainable practices, local partnerships, energy transformation, industrial applications, smart cities, lithium ion battery market, lifecycle assessment, resource efficiency, eco-friendly practices, community support, green energy initiatives, high-density energy storage, supply chain traceability, renewable resource development, job creation, corporate governance, chemicals, sustainability, environmental services, renewables & environment, clean energy & technology, oil & energy, mechanical or industrial engineering, productivity, logistics & supply chain",'+1 418-704-6038,1000000,1475,33141,2007,
